query_id,query,theme,intent,funnel,recommended_format,recommended_url,target_status,new_page_decision,cannibalization_risk,commercial_relevance,legal_risk,priority,evidence_status,volume_status,notes
Q018,request a traffic trial Alberta,process,transactional,BOFU,guide-section,/content/fight-traffic-ticket-alberta,existing,no-existing-page,medium,high,high,high,planned_not_observed,unmeasured,Ticket type determines procedure
Q019,pay traffic ticket Alberta online,process,navigational,BOFU,official-link,/hubs/court-options-and-deadlines,existing,no-existing-page,low,low,medium,medium,planned_not_observed,unmeasured,Direct to Alberta official service
Q020,prosecutor review vs traffic trial Alberta,process,comparative,MOFU,comparison-section,/content/fight-traffic-ticket-alberta,existing,no-existing-page,medium,high,high,high,planned_not_observed,unmeasured,No claim that one path is always better
Q021,Alberta speeding ticket,speeding,informational,TOFU,guide,/content/speeding-ticket-alberta,existing,no-existing-page,high,high,high,high,planned_not_observed,unmeasured,Canonical speeding intent
Q022,how to fight a speeding ticket in Alberta,speeding,informational,MOFU,guide,/content/speeding-ticket-alberta,existing,no-existing-page,high,high,high,high,planned_not_observed,unmeasured,Do not create city duplicate
Q023,speeding ticket demerits Alberta,speeding,informational,TOFU,guide,/content/speeding-ticket-alberta,existing,no-existing-page,high,medium,high,high,planned_not_observed,unmeasured,Cite current regulation
Q024,Alberta speeding demerit points chart,speeding,informational,TOFU,table,/content/speeding-ticket-alberta,planned_subsection,no-add-subsection,high,medium,high,high,planned_not_observed,unmeasured,Table needs source and verified date
Q025,how many demerits for 15 over Alberta,speeding,informational,TOFU,FAQ,/content/speeding-ticket-alberta,existing,no-existing-page,high,low,high,high,planned_not_observed,unmeasured,Exact band needs primary citation
Q026,how many demerits for 20 over Alberta,speeding,informational,TOFU,FAQ,/content/speeding-ticket-alberta,existing,no-existing-page,high,low,high,high,planned_not_observed,unmeasured,Exact band needs primary citation
Q027,how many demerits for 30 over Alberta,speeding,informational,TOFU,FAQ,/content/speeding-ticket-alberta,existing,no-existing-page,high,low,high,high,planned_not_observed,unmeasured,Exact band needs primary citation
Q028,how many demerits for 40 over Alberta,speeding,informational,TOFU,FAQ,/content/speeding-ticket-alberta,existing,no-existing-page,high,low,high,high,planned_not_observed,unmeasured,Exact band needs primary citation
Q029,51 km over speed limit Alberta,speeding,informational,MOFU,guide-section,/content/speeding-ticket-alberta,existing,no-existing-page,high,high,high,high,planned_not_observed,unmeasured,Separate mandatory appearance from automatic roadside claims
Q030,50 over speeding ticket Alberta suspension,speeding,informational,MOFU,myth-fact,/content/speeding-ticket-alberta,planned_subsection,no-add-subsection,high,high,high,high,planned_not_observed,unmeasured,Do not generalize suspension or seizure
Q031,Alberta speeding ticket fine calculator,speeding,tool-intent,MOFU,official-link-plus-explainer,/content/speeding-ticket-alberta,planned_subsection,no-new-tool-until-verified,high,medium,high,medium,planned_not_observed,unmeasured,Avoid unsourced calculations
Q032,speeding ticket mandatory court appearance Alberta,speeding,informational,MOFU,FAQ,/content/speeding-ticket-alberta,existing,no-existing-page,high,high,high,high,planned_not_observed,unmeasured,Identify summons and threshold carefully
Q033,how long do demerits stay in Alberta,speeding,informational,TOFU,hub,/hubs/demerits-and-insurance,existing,no-existing-page,medium,low,high,high,planned_not_observed,unmeasured,Cite conviction-date rules
Q034,Alberta demerit suspension threshold,speeding,informational,MOFU,hub,/hubs/demerits-and-insurance,existing,no-existing-page,medium,medium,high,high,planned_not_observed,unmeasured,Separate fully licensed and GDL thresholds
Q035,can demerit points be reduced Alberta,speeding,informational,MOFU,FAQ,/hubs/demerits-and-insurance,planned_subsection,no-add-subsection,medium,medium,high,medium,planned_not_observed,unmeasured,Avoid guaranteeing negotiated outcomes
Q036,photo radar ticket Alberta,automated-enforcement,informational,TOFU,guide,/content/photo-radar-ticket-alberta,existing,no-existing-page,high,high,high,high,planned_not_observed,unmeasured,Canonical registered-owner intent
Q037,fight photo radar ticket Alberta,automated-enforcement,informational,MOFU,guide,/content/photo-radar-ticket-alberta,existing,no-existing-page,high,high,high,high,planned_not_observed,unmeasured,Do not conflate with officer ticket trial process
Q038,do photo radar tickets have demerits Alberta,automated-enforcement,informational,TOFU,hub,/hubs/photo-radar-vs-officer-issued,existing,no-existing-page,medium,high,high,high,planned_not_observed,unmeasured,Cite current owner-liability source
Q039,does photo radar affect insurance Alberta,automated-enforcement,informational,MOFU,hub,/hubs/photo-radar-vs-officer-issued,existing,no-existing-page,medium,high,high,high,planned_not_observed,unmeasured,Keep notice-itself caveat
Q040,red light camera ticket Alberta,automated-enforcement,informational,TOFU,guide,/content/red-light-ticket-alberta,existing,no-existing-page,medium,high,high,high,planned_not_observed,unmeasured,Distinguish camera and officer-issued red-light charges
Q041,red light camera ticket demerits Alberta,automated-enforcement,informational,TOFU,FAQ,/hubs/photo-radar-vs-officer-issued,existing,no-existing-page,medium,medium,high,high,planned_not_observed,unmeasured,Registered-owner framing required
Q042,registered owner ticket Alberta,automated-enforcement,informational,TOFU,hub,/hubs/photo-radar-vs-officer-issued,existing,no-existing-page,low,medium,high,high,planned_not_observed,unmeasured,Verify exact statutory citation
Q043,photo radar ticket someone else driving Alberta,automated-enforcement,informational,MOFU,FAQ,/content/photo-radar-ticket-alberta,planned_subsection,no-add-subsection,medium,high,high,high,planned_not_observed,unmeasured,Avoid implying driver identity always controls owner notice
Q044,photo radar ticket deadline Alberta,automated-enforcement,urgent,BOFU,FAQ,/content/photo-radar-ticket-alberta,existing,no-existing-page,medium,high,high,high,planned_not_observed,unmeasured,Use notice-specific deadline
Q045,photo radar vs officer ticket Alberta,automated-enforcement,comparative,MOFU,hub,/hubs/photo-radar-vs-officer-issued,existing,no-existing-page,low,high,high,high,planned_not_observed,unmeasured,Core stream distinction
Q046,automated traffic enforcement Alberta rules,automated-enforcement,informational,TOFU,hub,/hubs/photo-radar-vs-officer-issued,existing,no-existing-page,medium,medium,high,medium,planned_not_observed,unmeasured,Rules are time-sensitive
Q047,photo radar ticket service Alberta,automated-enforcement,commercial-investigation,BOFU,service-page,/rapid-resolution,existing,no-existing-page,low,high,high,high,planned_not_observed,unmeasured,Price and eligibility must remain current
Q048,traffic ticket disclosure Alberta,disclosure-evidence,informational,MOFU,guide-section,/content/fight-traffic-ticket-alberta,existing,no-existing-page,high,high,high,high,planned_not_observed,unmeasured,Explain request channels and limits
Q049,how to request disclosure for traffic ticket Alberta,disclosure-evidence,transactional,BOFU,guide-section,/content/fight-traffic-ticket-alberta,existing,no-existing-page,high,high,high,high,planned_not_observed,unmeasured,Link current official process
Q050,what is in traffic ticket disclosure Alberta,disclosure-evidence,informational,MOFU,article,/blog/alberta-traffic-trial-evidence-self-represented,existing,no-existing-page,medium,high,high,high,planned_not_observed,unmeasured,Contents vary by file
Q051,officer notes traffic ticket Alberta,disclosure-evidence,informational,MOFU,article,/blog/alberta-traffic-trial-evidence-self-represented,existing,no-existing-page,medium,medium,high,high,planned_not_observed,unmeasured,Do not call notes conclusive proof
Q052,radar calibration records disclosure Alberta,disclosure-evidence,informational,MOFU,article,/blog/alberta-traffic-trial-evidence-self-represented,existing,no-existing-page,medium,medium,high,medium,planned_not_observed,unmeasured,Do not promise records are always included
Q053,Alberta traffic court evidence rules,trial,informational,MOFU,article,/blog/alberta-traffic-trial-evidence-self-represented,existing,no-existing-page,low,high,high,high,planned_not_observed,unmeasured,Primary evidence-intent page
Q054,what happens at an Alberta traffic trial,trial,informational,MOFU,article,/blog/alberta-traffic-trial-evidence-self-represented,existing,no-existing-page,low,high,high,high,planned_not_observed,unmeasured,Procedural information only
Q055,represent myself traffic court Alberta,trial,informational,MOFU,article,/blog/alberta-traffic-trial-evidence-self-represented,existing,no-existing-page,low,medium,high,high,planned_not_observed,unmeasured,Avoid discouraging self-representation
Q056,cross examine police officer traffic court Alberta,trial,informational,BOFU,article,/blog/alberta-traffic-trial-evidence-self-represented,existing,no-existing-page,low,medium,high,high,planned_not_observed,unmeasured,High legal-risk procedural topic
Q057,does police officer have to attend traffic court Alberta,trial,informational,MOFU,FAQ,/blog/alberta-traffic-trial-evidence-self-represented,planned_subsection,no-add-subsection,medium,medium,high,high,planned_not_observed,unmeasured,Avoid absolute attendance claims
Q058,hearsay traffic court Alberta,trial,informational,MOFU,article,/blog/alberta-traffic-trial-evidence-self-represented,existing,no-existing-page,low,low,high,medium,planned_not_observed,unmeasured,Keep overview general
Q059,certificate evidence traffic ticket Alberta,trial,informational,MOFU,article,/blog/alberta-traffic-trial-evidence-self-represented,existing,no-existing-page,low,low,high,medium,planned_not_observed,unmeasured,Section depends on charge and device
Q060,can I use dashcam video in Alberta traffic court,trial,informational,MOFU,article,/blog/alberta-traffic-trial-evidence-self-represented,existing,no-existing-page,low,medium,high,medium,planned_not_observed,unmeasured,Authentication and relevance vary
Q061,should I testify at traffic trial Alberta,trial,informational,BOFU,article,/blog/alberta-traffic-trial-evidence-self-represented,existing,no-existing-page,low,medium,high,high,planned_not_observed,unmeasured,Do not give case-specific advice
Q062,burden of proof traffic ticket Alberta,trial,informational,MOFU,article,/blog/alberta-traffic-trial-evidence-self-represented,existing,no-existing-page,low,medium,high,high,planned_not_observed,unmeasured,Cite authoritative case or court source
Q063,stop sign ticket Alberta,offence-specific,informational,TOFU,guide,/content/fight-stop-sign-ticket-alberta,existing,no-existing-page,medium,high,high,high,planned_not_observed,unmeasured,Existing province-wide page
Q064,fight stop sign ticket Alberta,offence-specific,informational,MOFU,guide,/content/fight-stop-sign-ticket-alberta,existing,no-existing-page,medium,high,high,high,planned_not_observed,unmeasured,Preserve AI-visible canonical
Q065,careless driving ticket Alberta,offence-specific,informational,TOFU,guide,/content/careless-driving-ticket-alberta,existing,no-existing-page,high,high,high,high,planned_not_observed,unmeasured,Consolidation destination
Q066,distracted driving ticket Alberta,offence-specific,informational,TOFU,guide,/content/distracted-driving-ticket-alberta,existing,no-existing-page,high,high,high,high,planned_not_observed,unmeasured,Consolidation destination
Q067,no seatbelt ticket Alberta,offence-specific,informational,TOFU,subsection,/content/fight-traffic-ticket-alberta,planned_subsection,no-add-subsection,high,medium,high,medium,planned_not_observed,unmeasured,Do not create city matrix expansion
Q068,fail to stop ticket Alberta,offence-specific,informational,TOFU,subsection,/content/fight-traffic-ticket-alberta,planned_subsection,no-add-subsection,high,medium,high,medium,planned_not_observed,unmeasured,Map into offence overview pending evidence
Q069,unsafe turn ticket Alberta,offence-specific,informational,TOFU,subsection,/content/fight-traffic-ticket-alberta,planned_subsection,no-add-subsection,high,medium,high,medium,planned_not_observed,unmeasured,Map into offence overview pending evidence
Q070,following too closely ticket Alberta,offence-specific,informational,TOFU,subsection,/content/fight-traffic-ticket-alberta,planned_subsection,no-add-subsection,high,medium,high,medium,planned_not_observed,unmeasured,Map into offence overview pending evidence
Q071,stunting ticket Alberta penalties,offence-specific,informational,MOFU,consolidated-guide,/content/stunting-ticket-alberta,candidate_not_live,consolidation-candidate-only,high,high,high,high,planned_not_observed,unmeasured,Requires exact charge and roadside consequence review
Q072,street racing ticket Alberta,offence-specific,informational,MOFU,consolidated-guide,/content/stunting-ticket-alberta,candidate_not_live,consolidation-candidate-only,high,high,high,high,planned_not_observed,unmeasured,Do not conflate all racing and speeding charges
Q073,construction zone speeding ticket Alberta,offence-specific,informational,MOFU,subsection,/content/speeding-ticket-alberta,planned_subsection,no-add-subsection,high,high,high,high,planned_not_observed,unmeasured,Verify exact multiplier provision before publishing
Q074,school zone speeding ticket Alberta,offence-specific,informational,MOFU,subsection,/content/speeding-ticket-alberta,planned_subsection,no-add-subsection,high,high,high,high,planned_not_observed,unmeasured,Verify current zone rules
Q075,playground zone speeding ticket Alberta,offence-specific,informational,MOFU,subsection,/content/speeding-ticket-alberta,planned_subsection,no-add-subsection,high,high,high,high,planned_not_observed,unmeasured,Verify current zone rules
Q076,tinted windows ticket Alberta,offence-specific,informational,TOFU,subsection,/content/fight-traffic-ticket-alberta,planned_subsection,no-add-subsection,high,medium,high,medium,planned_not_observed,unmeasured,Use exact equipment rule if expanded
Q077,fail to carry registration ticket Alberta,offence-specific,informational,TOFU,guide,/content/dispute-fail-to-carry-proof-of-registration-ticket-alberta,existing,no-choose-one-canonical,high,medium,high,medium,planned_not_observed,unmeasured,Three overlapping province slugs require canonical review
Q078,GDL speeding ticket Alberta,new-driver,informational,MOFU,subsection,/content/speeding-ticket-alberta,planned_subsection,no-add-subsection,high,high,high,high,planned_not_observed,unmeasured,Separate GDL suspension threshold
Q079,new driver demerits Alberta,new-driver,informational,TOFU,hub,/hubs/demerits-and-insurance,existing,no-existing-page,medium,medium,high,high,planned_not_observed,unmeasured,Cite GDL threshold
Q080,commercial driver traffic ticket Alberta,professional-driver,commercial-investigation,BOFU,service-page,/pro-drivers,existing,no-existing-page,medium,high,high,high,planned_not_observed,unmeasured,Employment consequences are case-specific
Q081,class 1 driver speeding ticket Alberta,professional-driver,commercial-investigation,BOFU,service-page,/pro-drivers,existing,no-existing-page,medium,high,high,high,planned_not_observed,unmeasured,Avoid unsupported employment claims
Q082,out of province driver ticket Alberta,driver-circumstance,informational,MOFU,subsection,/content/fight-traffic-ticket-alberta,planned_subsection,no-add-subsection,high,high,high,high,planned_not_observed,unmeasured,Reciprocal record effects need jurisdiction review
Q083,multiple traffic tickets Alberta,driver-circumstance,commercial-investigation,BOFU,subsection,/content/fight-traffic-ticket-alberta,planned_subsection,no-add-subsection,high,high,high,high,planned_not_observed,unmeasured,Do not multiply city persona pages
Q084,first traffic ticket Alberta,driver-circumstance,informational,MOFU,subsection,/content/fight-traffic-ticket-alberta,planned_subsection,no-add-subsection,high,high,medium,medium,planned_not_observed,unmeasured,First offence does not guarantee result
Q085,will a traffic ticket affect insurance Alberta,insurance,informational,MOFU,hub,/hubs/demerits-and-insurance,existing,no-existing-page,medium,high,high,high,planned_not_observed,unmeasured,Avoid fixed premium-change claims
Q086,how long traffic ticket affects insurance Alberta,insurance,informational,MOFU,hub,/hubs/demerits-and-insurance,existing,no-existing-page,medium,high,high,high,planned_not_observed,unmeasured,Insurer and renewal timing vary
Q087,photo radar insurance Alberta,insurance,informational,MOFU,hub,/hubs/photo-radar-vs-officer-issued,existing,no-existing-page,medium,high,high,high,planned_not_observed,unmeasured,Notice-itself language required
Q088,fight speeding ticket Calgary,local-intent,commercial-investigation,BOFU,canonical-guide,/content/speeding-ticket-alberta,existing,no-new-city-page-by-default,high,high,high,high,planned_not_observed,unmeasured,Use city page only if proven unique value and demand
Q089,fight speeding ticket Edmonton,local-intent,commercial-investigation,BOFU,canonical-guide,/content/speeding-ticket-alberta,existing,no-new-city-page-by-default,high,high,high,high,planned_not_observed,unmeasured,Use city page only if proven unique value and demand
Q090,traffic ticket court Calgary,local-intent,navigational,BOFU,hub,/hubs/city-specific-quirks,existing,no-existing-page,medium,medium,high,medium,planned_not_observed,unmeasured,Official location links must stay current
Q091,traffic ticket court Edmonton,local-intent,navigational,BOFU,hub,/hubs/city-specific-quirks,existing,no-existing-page,medium,medium,high,medium,planned_not_observed,unmeasured,Official location links must stay current
Q092,RCMP speeding ticket Alberta,local-intent,informational,MOFU,canonical-guide,/content/speeding-ticket-alberta,existing,no-consolidate-legacy-blog,high,high,high,high,planned_not_observed,unmeasured,Legacy RCMP article needs legal refresh or merge
Q093,traffic ticket help Red Deer,local-intent,commercial-investigation,BOFU,canonical-guide,/content/fight-traffic-ticket-alberta,existing,no-new-city-page-by-default,high,high,medium,medium,planned_not_observed,unmeasured,Check GSC before retaining city page
Q094,traffic ticket help Lethbridge,local-intent,commercial-investigation,BOFU,canonical-guide,/content/fight-traffic-ticket-alberta,existing,no-new-city-page-by-default,high,high,medium,medium,planned_not_observed,unmeasured,Check GSC before retaining city page
Q095,traffic ticket help Fort McMurray,local-intent,commercial-investigation,BOFU,canonical-guide,/content/fight-traffic-ticket-alberta,existing,no-new-city-page-by-default,high,high,medium,medium,planned_not_observed,unmeasured,Check GSC before retaining city page
Q096,Alberta traffic ticket review service,commercial,commercial-investigation,BOFU,service-page,/rapid-resolution,existing,no-existing-page,low,high,high,high,planned_not_observed,unmeasured,Describe eligible pre-trial scope
Q097,cost to fight traffic ticket Alberta,commercial,commercial-investigation,BOFU,service-page,/rapid-resolution,existing,no-existing-page,low,high,high,high,planned_not_observed,unmeasured,Keep current price and exclusions
Q098,cheap traffic ticket help Alberta,commercial,commercial-investigation,BOFU,service-page,/rapid-resolution,existing,no-existing-page,low,high,medium,medium,planned_not_observed,unmeasured,Avoid low-quality or guaranteed-outcome framing
Q099,traffic ticket disclosure service Alberta,commercial,transactional,BOFU,service-page,/rapid-resolution,existing,no-existing-page,low,high,high,high,planned_not_observed,unmeasured,Separate process support from legal advice
Q100,Alberta traffic ticket consultation,commercial,commercial-investigation,BOFU,service-page,/rapid-resolution,existing,no-existing-page,low,high,high,medium,planned_not_observed,unmeasured,Do not imply lawyer consultation
