locale,key,review_priority,source_text,draft_translation,source_sha256,translation_sha256,status,reviewer_name,review_date,decision,notes
pa,common.back,language-and-usability,Back,ਪਿੱਛੇ,76900f1bfd16c8d4dd3d25e6f46638d7165aee23883ccea6bfe071c514421769,d7196b51f6cd3c72d8e4e433ab8b13b6fc307199fd796020c518c0cef781bf3b,draft,,,,
pa,common.next,language-and-usability,Continue,ਅੱਗੇ ਵਧੋ,31fbef162594de01bab0cd525c51f74de7bcb15063029fa1a54b2cf5944c80d8,f074a9a96f5d385ea3c3bad199b9e6e8644795d0b9bf060e9827994bb959e6ad,draft,,,,
pa,common.close,language-and-usability,Close,ਬੰਦ ਕਰੋ,7d9eb7acb13e24625c404401d8e88b2350e32162455885f18276cf802f7701ed,50cbb669bbe4ea54aa61d1ea9d9109e06d3310229f8616acd58b857676445a86,draft,,,,
pa,common.loading,language-and-usability,Loading…,ਲੋਡ ਹੋ ਰਿਹਾ ਹੈ…,ba3bbbe10d8bef66441c88536ce7b8e724e2829b59a3da658654f4961cd61ae5,84baffe7032601d8df882eec9dc420ca2af17abce0ac36157fb23ff01b979e88,draft,,,,
pa,common.yes,language-and-usability,Yes,ਹਾਂ,85a39ab345d672ff8ca9b9c6876f3adcacf45ee7c1e2dbd2408fd338bd55e07e,5e8ae0dd3b38683c859991d8ece1c9ae6eb3cc14daba764c0cbb5cad75a0227c,draft,,,,
pa,common.no,language-and-usability,No,ਨਹੀਂ,1ea442a134b2a184bd5d40104401f2a37fbc09ccf3f4bc9da161c6099be3691d,33a565b2daabc4913e5c2879e6a80b594230e844338dba5321ffa549d12414db,draft,,,,
pa,common.optional,language-and-usability,Optional,ਚੋਣਵਾਂ,59be71333c960fd08e7e4fe9862206d9355f0a9884121a5b50ef8b36efdfe4cf,c9846e8458907ac3c73621e6eb3f1fd6dd62259effedc51a6bfabbdabf2fc7ef,draft,,,,
pa,common.required,language-and-usability,Required,ਲਾਜ਼ਮੀ,4850b174b713d88cfc63de107830d5388929020e78abc91fc19bba7a6821625f,ab457425a8baf82dd4ecf701f712516c6e2ca27a5d23edd1dd45666d66a79785,draft,,,,
pa,common.english,language-and-usability,English,ਅੰਗਰੇਜ਼ੀ,ba118bf7fc9c1aedc1edb28a0aa86e0b43b681f222af6616e13c43be87815b06,388d87e9188888de37bf9a948d8507de04be9b32b82c433e524c2115f13ce141,draft,,,,
pa,common.priceLine,legal-adjacent,{{price}} CAD plus applicable GST,{{price}} CAD ਅਤੇ ਲਾਗੂ GST ਵੱਖਰਾ,944ee0c680a2fab96ebfad0f8002d76974d5e8a314ab34fc3d459516f936e422,c689de0561fa56c5debea20faa07db3b2da6f855d107a97049c921ade321d024,draft,,,,
pa,common.notLawFirm,legal-adjacent,"Fabsy is a traffic ticket agent service, not a law firm. We do not provide legal advice.","Fabsy ਟ੍ਰੈਫਿਕ ਟਿਕਟਾਂ ਲਈ ਪ੍ਰਤੀਨਿਧੀ ਸੇਵਾ ਹੈ, ਲਾਅ ਫਰਮ ਨਹੀਂ। ਅਸੀਂ ਕਾਨੂੰਨੀ ਸਲਾਹ ਨਹੀਂ ਦਿੰਦੇ।",0038e2676c3303c1e1680137d0ae376f010b28637f0c3ab1fda6c269fface64f,cbbef7c2d06efed55ce5c15b60bb3abedcd8886146143b0ecb3a8469d1afefa7,draft,,,,
pa,common.noOutcomePromise,legal-adjacent,"No withdrawal, reduction, lower fine, fewer demerits or insurance result is promised.","ਟਿਕਟ ਵਾਪਸ ਲੈਣ, ਦੋਸ਼ ਘਟਾਉਣ, ਜੁਰਮਾਨਾ ਜਾਂ ਡੀਮੈਰਿਟ ਅੰਕ ਘਟਾਉਣ ਜਾਂ ਬੀਮੇ ਦੇ ਕਿਸੇ ਨਤੀਜੇ ਦਾ ਵਾਅਦਾ ਨਹੀਂ ਕੀਤਾ ਜਾਂਦਾ।",bbdc59a6e89ef90092c7f36df4ddc513b1892ead98e5c5cf630f5affbd905b28,af3abda0429eb941169288c9492f3a06349a2ee9a5e0804902975e72e43dc29e,draft,,,,
pa,common.noSuccessFee,legal-adjacent,One flat service fee. No percentage-based success fee.,ਇੱਕ ਨਿਸ਼ਚਿਤ ਸੇਵਾ ਫੀਸ। ਸਫਲਤਾ ਦੇ ਆਧਾਰ 'ਤੇ ਪ੍ਰਤੀਸ਼ਤ ਵਾਲੀ ਕੋਈ ਵਾਧੂ ਫੀਸ ਨਹੀਂ।,fad1ff1a6d818abbee8094929d2561b28b1dc184f1af5d913b80fda3984342bf,b38271401357fdd5dc7c34d5d437f9b4521c02fbe6503770124ec73c2d063353,draft,,,,
pa,common.clientDecision,legal-adjacent,You direct whether to accept any proposed resolution. Nothing is accepted automatically.,"ਕਿਸੇ ਵੀ ਤਜਵੀਜ਼ਸ਼ੁਦਾ ਨਿਪਟਾਰੇ ਨੂੰ ਸਵੀਕਾਰ ਕਰਨਾ ਹੈ ਜਾਂ ਨਹੀਂ, ਇਹ ਤੁਹਾਡੇ ਨਿਰਦੇਸ਼ਾਂ ਅਨੁਸਾਰ ਹੋਵੇਗਾ। ਕੁਝ ਵੀ ਆਪਣੇ ਆਪ ਸਵੀਕਾਰ ਨਹੀਂ ਕੀਤਾ ਜਾਂਦਾ।",a2032b3ed93526db2ceabe8ba7e1aaf23a454430a59c140a7a83a87dbb2ff226,4a4a1fec1eb95965705d82f05ca1c354d2604d3ced08d7b35eebc31eb5ec445d,draft,,,,
pa,common.notFound,language-and-usability,This page is not available in this language.,ਇਹ ਪੰਨਾ ਇਸ ਭਾਸ਼ਾ ਵਿੱਚ ਉਪਲਬਧ ਨਹੀਂ ਹੈ।,b138a234004a23fb897689d56e62d134a8e7bf08c02730c98b47d1fa1882c040,3f5e4ba0ded30f761682514c2bb7e869ddf3572641d58f9b37d192feb01bf39c,draft,,,,
pa,common.returnHome,language-and-usability,Return to home,ਮੁੱਖ ਪੰਨੇ 'ਤੇ ਵਾਪਸ ਜਾਓ,ca3f1411b47186b1f3255b617eb90b06dba50bc8879ea1f47589959487726ebc,eac4f14a4111336727dabe111bca6e7cd0ede1fec6ea518508b30180535cb0c8,draft,,,,
pa,language.selector,language-and-usability,Choose your language,ਆਪਣੀ ਭਾਸ਼ਾ ਚੁਣੋ,8e2d0664dbbb529de872582461068f7f7f752fc226a03a1b8439a4299dbf5e74,bf01c16d118e070eb3d40f9975c57e8b5e89ff6e95f67e8b5ec63fedba06eeb8,draft,,,,
pa,language.offer,language-and-usability,Prefer to read this page in {{language}}?,ਕੀ ਤੁਸੀਂ ਇਹ ਪੰਨਾ {{language}} ਵਿੱਚ ਪੜ੍ਹਨਾ ਚਾਹੋਗੇ?,b62bed8d395e57be40b8c98546974430879d5e9dfb6e87570f301eaf0c2ac1a8,90758b1af257f6607a8698aea8521edfa860f9913b209b7e726c709ecb038778,draft,,,,
pa,language.switch,language-and-usability,Read in {{language}},{{language}} ਵਿੱਚ ਪੜ੍ਹੋ,3a7b883abdecb5e82c05a6ca7f3c904948b56fa5a22e80204a5e5de8e47eb039,ac65a8968780c09a94d9ed4738ddc10a1ded89fa7af8ccc092cd3fea16ddb11f,draft,,,,
pa,language.dismiss,language-and-usability,Keep my current language,ਮੌਜੂਦਾ ਭਾਸ਼ਾ ਹੀ ਰੱਖੋ,66cb3639efa97ec8cc387646bd21fa8eccc22d0166b93d8d0c979e52f31d54ae,544b0e0414894e753c3260cc30a05e95596c0741b61a5d2fb00cb6ef91f83614,draft,,,,
pa,language.draftTitle,legal-adjacent,Translation preview — review pending,ਅਨੁਵਾਦ ਦਾ ਪੂਰਵਦਰਸ਼ਨ — ਸਮੀਖਿਆ ਬਾਕੀ ਹੈ,51b60d5d973f27b433f3f034155a5368e67b106e02e99f39e69dbed802cb04ed,0256f3958c74c7f2351dff8204b0fdd309ad45872f492bea177256227a21ec22,draft,,,,
pa,language.draftBody,legal-adjacent,"This translation is a draft and has not been approved by a native reviewer. Before purchasing or giving consent, read the English terms or contact Fabsy for clarification.",ਇਹ ਅਨੁਵਾਦ ਇੱਕ ਮਸੌਦਾ ਹੈ ਅਤੇ ਮਾਤਭਾਸ਼ੀ ਸਮੀਖਿਅਕ ਨੇ ਇਸਨੂੰ ਮਨਜ਼ੂਰ ਨਹੀਂ ਕੀਤਾ। ਖਰੀਦਣ ਜਾਂ ਸਹਿਮਤੀ ਦੇਣ ਤੋਂ ਪਹਿਲਾਂ ਅੰਗਰੇਜ਼ੀ ਸ਼ਰਤਾਂ ਪੜ੍ਹੋ ਜਾਂ ਸਪਸ਼ਟੀਕਰਨ ਲਈ Fabsy ਨਾਲ ਸੰਪਰਕ ਕਰੋ।,aed054645990dcfb2b9067e55ec188dfe0051561571515142ac1fd3d87deeae9,e6a19a94dfd7777295ef2d59f89ea3f6ae92ff8cd43365d49b0d5c0315ff843d,draft,,,,
pa,language.englishControls,legal-adjacent,The English terms control if the translation differs. This draft does not change the English agreement or limit rights under applicable law.,ਅਨੁਵਾਦ ਵਿੱਚ ਫ਼ਰਕ ਹੋਣ 'ਤੇ ਅੰਗਰੇਜ਼ੀ ਸ਼ਰਤਾਂ ਲਾਗੂ ਹੋਣਗੀਆਂ। ਇਹ ਮਸੌਦਾ ਅੰਗਰੇਜ਼ੀ ਸਮਝੌਤੇ ਨੂੰ ਨਹੀਂ ਬਦਲਦਾ ਅਤੇ ਲਾਗੂ ਕਾਨੂੰਨ ਅਧੀਨ ਹੱਕਾਂ ਨੂੰ ਸੀਮਤ ਨਹੀਂ ਕਰਦਾ।,47d88a952adea0d705eeb834ade632a89f240c4ef8419186921e70ce329ffa47,1b97dd19cd7698eec09620553b7df12d759141dfadcdd5bc090bf74eb5583988,draft,,,,
pa,language.readEnglish,language-and-usability,Read the English version,ਅੰਗਰੇਜ਼ੀ ਸੰਸਕਰਣ ਪੜ੍ਹੋ,971012a5337e5192d5ca9b242712d22c57e69d6f8b5f8ca5d44de236c3b0336e,878dff2e7667b192b1f4f457c7c4b0b2dd7a62fafffd1373152aac89eb87b3af,draft,,,,
pa,language.paymentBlocked,legal-adjacent,Purchasing and authorization in this language are not available until translation review and language support are confirmed. You may continue in English.,ਅਨੁਵਾਦ ਦੀ ਸਮੀਖਿਆ ਅਤੇ ਭਾਸ਼ਾਈ ਸਹਾਇਤਾ ਦੀ ਪੁਸ਼ਟੀ ਹੋਣ ਤੱਕ ਇਸ ਭਾਸ਼ਾ ਵਿੱਚ ਖਰੀਦ ਅਤੇ ਅਧਿਕਾਰ ਦੇਣਾ ਉਪਲਬਧ ਨਹੀਂ ਹੈ। ਤੁਸੀਂ ਅੰਗਰੇਜ਼ੀ ਵਿੱਚ ਅੱਗੇ ਵਧ ਸਕਦੇ ਹੋ।,18d90a7cee31fa2d70ab23127cfb3ce6a9a431f4aa9f2768996014b4c390750f,980dd7c600a3673971c400d5a4ea7196df32703d438a6b278ed416a179bafddc,draft,,,,
pa,language.continueEnglish,language-and-usability,Continue in English,ਅੰਗਰੇਜ਼ੀ ਵਿੱਚ ਅੱਗੇ ਵਧੋ,dda43c1f791aa01cc7d30787034952cc7eeea541b26d103f771b0a5778bef510,3817245895d74f9636927585769b6b912fdb7376a25f0feaea20213491237948,draft,,,,
pa,home.metaTitle,language-and-usability,Alberta traffic ticket help | Fabsy,ਅਲਬਰਟਾ ਦੇ ਟ੍ਰੈਫਿਕ ਟਿਕਟਾਂ ਲਈ ਮਦਦ | Fabsy,a933288a0f0dbbfdf1a8aa6ec0178b9d655fddc614361a828e7ca594437267c1,cccc6ad9f60253617562a44cb3d4055c06eed517f174dced8540efe06b0f04b8,draft,,,,
pa,home.metaDescription,language-and-usability,"Understand Fabsy's Alberta pre-trial ticket service, flat fee, disclosure review and client-directed decisions in your language.","Fabsy ਦੀ ਅਲਬਰਟਾ ਵਿੱਚ ਟਰਾਇਲ ਤੋਂ ਪਹਿਲਾਂ ਦੀ ਟਿਕਟ ਸੇਵਾ, ਨਿਸ਼ਚਿਤ ਫੀਸ, ਸਬੂਤਾਂ ਦੀ ਸਮੀਖਿਆ ਅਤੇ ਤੁਹਾਡੇ ਨਿਰਦੇਸ਼ਾਂ ਅਨੁਸਾਰ ਫ਼ੈਸਲਿਆਂ ਨੂੰ ਆਪਣੀ ਭਾਸ਼ਾ ਵਿੱਚ ਸਮਝੋ।",4af70e47d06aec85c528b9302e3cf7f2abe842754382d09c05ddcc66ab7f3adc,d4e7b143f1b1c81a1e01560ef3ef36906a6a38ccb97ab3cada263661599ba688,draft,,,,
pa,home.eyebrow,language-and-usability,Alberta traffic ticket help,ਅਲਬਰਟਾ ਦੇ ਟ੍ਰੈਫਿਕ ਟਿਕਟਾਂ ਲਈ ਮਦਦ,d5730f2b069da1d051ced1960fab0c3aca338e66dc7126e897f027008db5ad2b,796a6b5999143f89368241d82bb958e6a07242d5c00f8291a1b0d1e5e58da4a9,draft,,,,
pa,home.title,language-and-usability,Understand your ticket. Choose your next step.,ਆਪਣਾ ਟਿਕਟ ਸਮਝੋ। ਆਪਣਾ ਅਗਲਾ ਕਦਮ ਚੁਣੋ।,a58931b49428bdcbf5192c3aa5ff9714d379dd5598ae0bb76679f96415df5f74,b06d27e410e58e752eadcd2c1edb8fbd973624e2c988bce55563b6fa211a1971,draft,,,,
pa,home.description,language-and-usability,"Rapid Resolution brings ticket intake, disclosure, review and updates together for eligible Alberta pre-trial matters.","Rapid Resolution ਅਲਬਰਟਾ ਦੇ ਯੋਗ ਮਾਮਲਿਆਂ ਵਿੱਚ ਟਰਾਇਲ ਤੋਂ ਪਹਿਲਾਂ ਟਿਕਟ ਦੇ ਵੇਰਵੇ, ਡਿਸਕਲੋਜ਼ਰ, ਸਮੀਖਿਆ ਅਤੇ ਅੱਪਡੇਟ ਇੱਕ ਪ੍ਰਕਿਰਿਆ ਵਿੱਚ ਲਿਆਉਂਦੀ ਹੈ।",665888e5795174342a12d1026c5928f6f58586c7a5343d1b0dd819557665e129,41e2d2ad38b5a0c5fdb67256076484cd869474401a515d1a1d6854e4ca56f1fb,draft,,,,
pa,home.primaryCta,language-and-usability,Start with your ticket,ਆਪਣੇ ਟਿਕਟ ਤੋਂ ਸ਼ੁਰੂ ਕਰੋ,2c56895797789029dd67000776843b675c64f2a21d8d7feeeb49189266d6df43,9b409b7b8c147fc1dd9cd6be18edad042c776bcdffa4e50ccc56d0da3df16b07,draft,,,,
pa,home.secondaryCta,language-and-usability,See how it works,ਜਾਣੋ ਇਹ ਕਿਵੇਂ ਕੰਮ ਕਰਦਾ ਹੈ,a105ad29235aa71ee321d02ba00ee1cf7e9273406367343fdf9a721daa38419e,f5082811b7bd372237ff6dbbfd6bb83ff14d16ffba6ab9b5ea83cf46d460819a,draft,,,,
pa,home.educationTitle,legal-adjacent,Received a ticket? You may have options.,ਟਿਕਟ ਮਿਲਿਆ ਹੈ? ਤੁਹਾਡੇ ਕੋਲ ਚੋਣਾਂ ਹੋ ਸਕਦੀਆਂ ਹਨ।,87ca40f52f2ca6cbfe6bb2f359d58a36762968b23740c3802d61dcfccfb96359,e501df39b79a07f0913d2b043f2fb42f9751f755f80f83b496fd8e3526404981,draft,,,,
pa,home.educationBody,legal-adjacent,"An Alberta traffic ticket may be disputed. Whether an agent can help depends on the charge, procedure, deadline and court requirements. You may still have to attend personally if required.","ਅਲਬਰਟਾ ਦੇ ਟ੍ਰੈਫਿਕ ਟਿਕਟ ਨੂੰ ਚੁਣੌਤੀ ਦਿੱਤੀ ਜਾ ਸਕਦੀ ਹੈ। ਪ੍ਰਤੀਨਿਧੀ ਮਦਦ ਕਰ ਸਕਦਾ ਹੈ ਜਾਂ ਨਹੀਂ, ਇਹ ਦੋਸ਼, ਪ੍ਰਕਿਰਿਆ, ਸਮਾਂ-ਸੀਮਾ ਅਤੇ ਅਦਾਲਤ ਦੀਆਂ ਲੋੜਾਂ 'ਤੇ ਨਿਰਭਰ ਕਰਦਾ ਹੈ। ਜੇ ਲੋੜ ਹੋਵੇ ਤਾਂ ਤੁਹਾਨੂੰ ਖੁਦ ਹਾਜ਼ਰ ਹੋਣਾ ਪੈ ਸਕਦਾ ਹੈ।",6dd739ee7087a3787cde95ebfc3039b69c6b4ca1a983145bf3ec1bab1d3f204e,c7cd353f12c4bba6b7872b9fc2f1cab219e214d0d895ae36f92189a0f80b0b1d,draft,,,,
pa,home.scope,legal-adjacent,"Eligible pre-trial matters only. Trial representation, government fines and work outside the accepted scope are separate.","ਸਿਰਫ਼ ਟਰਾਇਲ ਤੋਂ ਪਹਿਲਾਂ ਦੇ ਯੋਗ ਮਾਮਲਿਆਂ ਲਈ। ਟਰਾਇਲ ਵਿੱਚ ਪ੍ਰਤੀਨਿਧਤਾ, ਸਰਕਾਰੀ ਜੁਰਮਾਨੇ ਅਤੇ ਮਨਜ਼ੂਰ ਦਾਇਰੇ ਤੋਂ ਬਾਹਰ ਦਾ ਕੰਮ ਵੱਖਰੇ ਹਨ।",aba56c8bc6b001bf680db994ca3565ce679fa12c724b6274d10981555f549170,0868285e8882b1a52df8d1c15ddbbf25872d43587d5066e0438ca9c148654548,draft,,,,
pa,rapid.metaTitle,language-and-usability,Rapid Resolution | Alberta ticket help | Fabsy,Rapid Resolution | ਅਲਬਰਟਾ ਟਿਕਟ ਸਹਾਇਤਾ | Fabsy,15d50e2ad66f464b564fbfa7a42df04643f8826078e7f98f3dd7488255bde663,d3620da8bc2b1f169aef0aa6770155d1bb0d7b7426c2fe952b21a1a599986184,draft,,,,
pa,rapid.metaDescription,language-and-usability,"Secure ticket intake, disclosure requests, qualified review and prosecutor-review submissions for eligible Alberta pre-trial tickets.","ਅਲਬਰਟਾ ਦੇ ਯੋਗ ਟਰਾਇਲ-ਪੂਰਵ ਟਿਕਟਾਂ ਲਈ ਸੁਰੱਖਿਅਤ ਵੇਰਵੇ ਜਮ੍ਹਾਂ ਕਰਨਾ, ਡਿਸਕਲੋਜ਼ਰ ਦੀ ਬੇਨਤੀ, ਯੋਗ ਸਮੀਖਿਆ ਅਤੇ ਸਰਕਾਰੀ ਵਕੀਲ ਦੀ ਸਮੀਖਿਆ ਲਈ ਅਰਜ਼ੀ।",2fea531cdd6be1899a5464c8ba270a7ac308bbc389fe4c906c8a4bed4c27351c,3f520298cf95de0baa34efcadde49a3f359fe26144621f13ddc4df49cefa5afe,draft,,,,
pa,rapid.eyebrow,language-and-usability,Alberta pre-trial ticket resolution,ਅਲਬਰਟਾ ਵਿੱਚ ਟਰਾਇਲ ਤੋਂ ਪਹਿਲਾਂ ਟਿਕਟ ਦਾ ਨਿਪਟਾਰਾ,53e3aee58095e335a6619f34d0a619e3f69f3927dbf0eeec50718b916fffb411,9585f23c2f576d0800476c826f44560cfa5842067399d58532fb81c75d911396,draft,,,,
pa,rapid.title,language-and-usability,"Your ticket, moving forward.",ਤੁਹਾਡੇ ਟਿਕਟ 'ਤੇ ਅਗਲਾ ਕਦਮ।,fa9903b72e9a7cd46ef15a5942f3a1b03c4775159261391c5f5656d4b8f3770f,e8c94980b16482c77b0afbbc76b7ba541cc72501a7b2969e2604523aad130110,draft,,,,
pa,rapid.description,language-and-usability,"One secure online process for intake, authorization, disclosure, review and your decision about any available Crown response.","ਵੇਰਵੇ, ਅਧਿਕਾਰ, ਡਿਸਕਲੋਜ਼ਰ, ਸਮੀਖਿਆ ਅਤੇ ਸਰਕਾਰੀ ਵਕੀਲ ਦੇ ਉਪਲਬਧ ਜਵਾਬ ਬਾਰੇ ਤੁਹਾਡੇ ਫ਼ੈਸਲੇ ਲਈ ਇੱਕ ਸੁਰੱਖਿਅਤ ਆਨਲਾਈਨ ਪ੍ਰਕਿਰਿਆ।",73146d7052a0d3c05c01983c80b951c019cb8b91d3f2f19087f35311796f0f4b,f1a18ef35c9fb7aa8c668b915ed2a402f380fe76d1a2f053760b65031e1c2d24,draft,,,,
pa,rapid.priceLabel,language-and-usability,Flat pre-trial service fee,ਟਰਾਇਲ ਤੋਂ ਪਹਿਲਾਂ ਦੀ ਨਿਸ਼ਚਿਤ ਸੇਵਾ ਫੀਸ,245b584da8e4b0a84436c89e613981c2d9cdfc0b407002ba7454ca9c84001f8f,25ae2c84fd1c9b318a5021001bbc279b94353f3e9d61a0e359013f5a31008805,draft,,,,
pa,rapid.includedTitle,language-and-usability,What is included,ਕੀ ਸ਼ਾਮਲ ਹੈ,06cec1523c69f02c94d6f022bbc8c2fdfeaa8254779e81b94154843cbc546e39,a4031aa5e3ee20a4366b494e7f7e2de2065f01e97dbe0963df98102bc2c7e306,draft,,,,
pa,rapid.excludedTitle,language-and-usability,What is separate or excluded,ਕੀ ਵੱਖਰਾ ਹੈ ਜਾਂ ਸ਼ਾਮਲ ਨਹੀਂ ਹੈ,4df6a50399117a7c9c7ecb41541e9d436a7d0bf18e1741e09234996ed09a5df0,09bdf1a7e7c57ee48a0fbec6060e34f42df3b903954d2c7af2d4b57a77935f27,draft,,,,
pa,rapid.included.intake,legal-adjacent,Secure digital ticket intake,ਟਿਕਟ ਦੇ ਵੇਰਵੇ ਸੁਰੱਖਿਅਤ ਢੰਗ ਨਾਲ ਡਿਜ਼ਿਟਲ ਰੂਪ ਵਿੱਚ ਲੈਣਾ,c6b27be55d9e6247a6dfb27d677ab01c4d5f9908df044dd9e99bfc99ddca6e1f,45a91944c17503f990dc8689b5cf2a10d4857c43add0b69a4c13684cd1edda59,draft,,,,
pa,rapid.included.eligibility,legal-adjacent,Eligibility and deadline review,ਯੋਗਤਾ ਅਤੇ ਸਮਾਂ-ਸੀਮਾਵਾਂ ਦੀ ਸਮੀਖਿਆ,c9784f804994a42cac2c9d750fec26ad2f3dfbb6b9e9ffb24ca1f38308afc146,a96c77ce858bbe699bb7370985bc05014a2eb5ed3b5fdce332b7e74afb911435,draft,,,,
pa,rapid.included.authorization,legal-adjacent,Digital consent and authorization,ਡਿਜ਼ਿਟਲ ਸਹਿਮਤੀ ਅਤੇ ਅਧਿਕਾਰ,605e3a25894b7773b01999f86a2dcbc22117d42a5dd2047d6a33d44b4ede28a2,dd48dd30117db311838c76c3c3ae705238e1de4cd4f4b79e2d8f272c2228c48f,draft,,,,
pa,rapid.included.disclosure,legal-adjacent,Disclosure request and document tracking,"ਡਿਸਕਲੋਜ਼ਰ, ਅਰਥਾਤ ਸਰਕਾਰੀ ਪੱਖ ਦੇ ਸਬੂਤਾਂ ਦੀ ਬੇਨਤੀ ਅਤੇ ਦਸਤਾਵੇਜ਼ਾਂ ਦੀ ਨਿਗਰਾਨੀ",609c2d0df430b8de1a6edf96d66d2072721eb0b9adccc8a1813d1a82e183d57e,4fe7538770d7f2bdb360dc6ea328443d3915190e447a21e0c96dd313f2443d3c,draft,,,,
pa,rapid.included.analysis,legal-adjacent,Technology-assisted disclosure analysis with qualified review,ਤਕਨਾਲੋਜੀ ਦੀ ਸਹਾਇਤਾ ਨਾਲ ਡਿਸਕਲੋਜ਼ਰ ਦਾ ਵਿਸ਼ਲੇਸ਼ਣ ਅਤੇ ਯੋਗ ਸਮੀਖਿਆ,7d836f2f04ca3a4c070843e4a6fbd4848c6c4ea8465a315821845259cd0b5045,54672f70708019a57f5a238f9e8b7babfde152b0d264f5739b18dc488dd7422f,draft,,,,
pa,rapid.included.submission,legal-adjacent,Fact-specific prosecutor-review submission,ਮਾਮਲੇ ਦੇ ਤੱਥਾਂ ਅਨੁਸਾਰ ਸਰਕਾਰੀ ਵਕੀਲ ਦੀ ਸਮੀਖਿਆ ਲਈ ਅਰਜ਼ੀ,0f3c9165b7ce359eb91b4e3c31246d4d920dec5374fb301255672e9bca188adc,4c97a4b319d1d2fe8ab4068550d69efaeb2d0a9b836d8be2cf3876a9830a302e,draft,,,,
pa,rapid.included.updates,legal-adjacent,File-change notifications,ਫਾਈਲ ਵਿੱਚ ਤਬਦੀਲੀਆਂ ਦੀਆਂ ਸੂਚਨਾਵਾਂ,27fd0a60b3cb5fc595c43726f2016a27b2f933baafc5fe7d214a9f9089ac1dc3,6e4adda25e8a1ea2d96fdd9faf2fe14d84d069359d1a6f60cb72cf6279fa31bd,draft,,,,
pa,rapid.included.explanation,legal-adjacent,Plain-language comparison of the original ticket and any Crown response,ਮੂਲ ਟਿਕਟ ਅਤੇ ਸਰਕਾਰੀ ਵਕੀਲ ਦੇ ਕਿਸੇ ਵੀ ਜਵਾਬ ਦੀ ਸੌਖੀ ਭਾਸ਼ਾ ਵਿੱਚ ਤੁਲਨਾ,a1fdff3ef43ee56dfc38e640c9465fe9455e11b24df2c9ecb44ad91364233fbe,6aa2083582210d0732b1b1967909bb3691911b83bda7c2c5364f474f745cd58f,draft,,,,
